project_name,artist,year,rating,tags
lawless darkness,watain,2010,6,"black metal, 2010, melodic black metal, favourite albums, best albums ever"
þþþþþþþþþþþ,arckanum,2009,8,"black metal, 2009, swedish, swedish black metal, best of 2009"
the suburbs,arcade fire,2010,8,"2010, indie rock, albums I own, indie, best of 2010"
lisbon,the walkmen,2010,5,"2010, best of 2010, indie rock, indie, vinyl"
how i got over,the roots,2010,8,"2010, Hip-Hop, best of 2010, hip hop, funk"
sir lucious left foot: the son of chico dusty,big boi,2010,6,"2010, rap, Hip-Hop, hip hop, best albums of 2010"
does it look like i'm here?,emeralds,2010,6,"2010, electronic, ambient, Progressive Electronic, drone"
transit transit,autolux,2010,6,"2010, best of 2010, shoegaze, alternative, alternative rock"
the wrong car,the twilight sad,2010,4,"albums I own, 2010, ep, bobjebus16 owns this"
the wild hunt,the tallest man on earth,2010,8,"2010, folk, best of 2010, singer-songwriter, favorite albums"
the way out,the books,2010,9,"2010, electronic, experimental, plunderphonics, indie"
pattern+grid world,flying lotus,2010,8,"2010, electronic, Hip-Hop, hip hop, albums I own"
the lady killer,cee lo green,2010,7,"2010, soul, best of 2010, pop, albums I own"
oversteps,autechre,2010,5,"idm, electronic, 2010, ambient, experimental"
go,jonsi,2010,6,2010
this orient,foals,2022,7,"french pop, Varg does not approve, colorful album covers"
the final frontier,iron maiden,2010,6,"heavy metal, albums I own, 2010, Progressive metal, metal"
tsol,shad,2001,6,"rap, Canadian, Conscious Hip Hop, best albums of 2010, shad"
latin,holy fuck,2010,7,"2010, electronic, best of 2010, krautrock, indie"
rohnert park,ceremony,2010,8,"hardcore punk, hardcore, punk, amazing, 2010"
death gate,the gaslamp killer,2010,7,"2010, experimental, brainfeeder, electronic, instrumental"
plastic beach,gorillaz,2010,7,"2010, alternative, albums I own, electronic, Hip-Hop"
forget,twin shadow,2009,8,"2010, electronic, indie, favorite albums, new wave"
cosmogramma,flying lotus,2010,8,"2010, idm, electronic, experimental, wonky"
the archandroid,janelle monáe,2010,8,"2010, funk, soul, albums I own, art pop"
the fall,gorillaz,2010,5,"electronic, 2010, experimental, alternative, albums I own"
surfing the void,klaxons,2010,4,"2010, Nu-Rave, alternative rock, indie rock, indie"
fever,sleepy sun,2020,7,"2010, Psychedelic Rock, acoustic, psychedelic, folk rock"
lucky shiner,gold panda,2010,7,"2010, idm, electronic, techno, psychedelic"
dark country magic,big blood,2020,7,"freak folk, list-en"
self-titled,anika,2010,3,"2010, indie pop, krautrock, Psychedelic Rock, punk"
my father will guide me up a rope to the sky,swans,2010,6,"2010, post-rock, experimental, Experimental Rock, noise rock"
big echo,the morning benders,2010,6,"2010, indie, indie pop, indie rock, albums I own"
fool's day,blur,2022,8,"2010, 10s, digital, britpop, single"
the monitor,titus andronicus,2010,7,"2010, indie rock, favorite albums, punk rock, best of 2010"
black city,matthew dear,2010,7,"2010, Monakitty432, rsyniklaced, deviliscious432, pop"
sea of cowards,the dead weather,2010,5,"2010, Garage Rock, albums I own, rock, alternative rock"
love remains,how to dress well,2010,4,"2010, ambient, psychedelic, r&b, alternative rnb"
together,the new pornographers,2010,7,"2010, indie, best of 2010, rock, Canadian"
circle the wagons,darkthrone,2010,5,"crust punk, black metal, 2010, Black n Roll, heavy metal"
expo 86,wolf parade,2010,6,"2010, indie rock, albums I own, sub pop, 10s"
crush,abe vigoda,2010,4,"indie, 2010, no wave, pitchfork top 50 albums of 2010, neoncait"
self-titled,daughters,2010,8,"2010, mathcore, noise rock, post-hardcore, rock"
urgency,superhumanoids,2010,8,2010
cerulean,baths,2010,8,"2010, electronic, downtempo, idm, best of 2010"
small craft on a milk sea,brian eno,2010,8,"ambient, 2010, Warp, electronic, experimental"
penny sparkle,blonde redhead,2010,8,"2010, indie, dream pop, 4ad, alternative"
homeland,laurie anderson,2010,8,"2010, Classical, vocal, female, experimental"
ring,glasser,2010,8,"2010, experimental, psychedelic, indie, dream pop"
gemini,wild nothing,2010,7,"2010, dream pop, indie pop, best of 2010, indie"
special affections,diamond rings,2010,8,"2010, indie, electronic, alternative, Lo-Fi"
crazy for you,best coast,2010,5,"2010, Lo-Fi, Garage Rock, best of 2010, surf rock"
wild smile,suckers,2010,7,"2010, indie, vinyl, best of 2010, Brooklyn"
portal of sorrow,xasthur,2010,4,"ambient black metal, alternative metal, dark ambient, purple album covers, black metal"
summit,thou,2010,7,"doom metal, 2010, Sludge Doom, atmospheric sludge metal, Sludge"
self-titled,the drums,2010,8,"2010, best of 2010, indie pop, albums I own, indie"
first four eps,off!,2010,8,"2010, hardcore punk, albums I own, debut album, rock"
the bride screamed murder,melvins,2010,5,"2010, Stoner Rock, metal, rock, Melvins"
paramatma,mono/poly,2010,6,"experimental, dubstep, freestyle, 2010, wonky"
at echo lake,woods,2010,8,"2010, rock, folk, quite possibly one of the best albums of 2010, woodsist"
memories,weezer,2014,7,beer
down there,avey tare,2010,5,"2010, experimental, electronic, electronica, indie"
the budos band iii,the budos band,2010,5,"funk, best of 2010, soul, The Budos Band III, alternative"
treats,sleigh bells,2010,3,"2010, noise pop, electronic, best of 2010, albums I own"
hippies,harlem,2010,7,"2010, Garage Rock, best of 2010, proto-punk, best albums"
lights,interpol,2002,5,"post-punk, remix"
cloud cuckooland,various artists,2022,7,krautrock
face tat,zach hill,2010,5,"math rock, Experimental Rock, Neo-Psychedelia, noise, rock"
forgiveness rock record,broken social scene,2010,4,"2010, indie rock, best of 2010, albums I own, indie"
a sufi and a killer,gonjasufi,2017,9,"2010, experimental, Lo-Fi, trip-hop, psychedelic"
album of the year,black milk,2010,4,"2010, Hip-Hop, hip hop, independent hip-hop, albums I own"
patagonian rats,tera melos,2010,5,"math rock, indie rock, albums I own, best of 2010, best albums"
oj simpson,guilty simpson,2010,6,"2010, albums I own, interested, Madlib, Gangsta Rap"
self-titled,happy birthday,2016,6,"indie, Lo-Fi, seventies, need to check out, my gang 10"
something for everybody,devo,2010,6,"new wave, 2010, 10s, devo, techno new wave"
illumination,miami horror,2010,7,"2010, electronic, albums I own, synthpop, electropop"
self-titled,happy birthday,2016,6,"indie, Lo-Fi, seventies, need to check out, my gang 10"
pyramid of the sun,maserati,2010,7,"post-rock, favorite albums, electronic, instrumental, albums I own"
penny sparkle,blonde redhead,2010,8,"2010, indie, dream pop, 4ad, alternative"
the people's record,club 8,2010,5,"2010, indie, Labrador, new, upcoming"
everything in between,no age,2010,6,"2010, noise rock, indie rock, best of 2010, indie"
four more years,teen daze,2010,7,"2010, chillwave"
infinite arms,band of horses,2010,5,"2010, indie, indie rock, albums I own, rock"
rising sun,the souljazz orchestra,2010,8,"afrobeat, funk, canada, Fusion, jazz-funk"
holkham drones,luke abbott,2010,8,"electronic, albums I own, 2010"
pigeons,here we go magic,2010,7,"2010, indie, Brooklyn, secretly canadian, New York City"
illumination,miami horror,2010,7,"2010, electronic, albums I own, synthpop, electropop"
desert fires,noveller,2021,7,"drone, rock, album fav, saffron recordings"
the fool,warpaint,2010,6,"2010, Psychedelic Rock, albums I own, indie, shoegaze"
lp4,ratatat,2010,8,"electronic, 2010, instrumental, electronica, guitar"
ardour,teebs,2010,6,"2010, electronic, chillout, albums I own, downtempo"
all delighted people,sufjan stevens,2010,8,"2010, vinyl, progressive folk, chamber folk, indie"
becoming a jackal,villagers,2010,6,"2010, best of 2010, albums I own, indie rock, irish"
in evening air,future islands,2010,7,"2010, favorite albums, new wave, electronic, indie"
memphis,magic kids,2010,8,"2010, indie pop, albums I own, fun, memphis"
broken dreams club,girls,2010,5,"albums I own, favorite albums, best of 2010, pretty good, my gang 10"
special moves,mogwai,2010,8,"albums I own, post-rock, live, 2010, instrumental"
écailles de lune,alcest,2010,7,"shoegaze, atmospheric black metal, blackgaze, 2010, post-rock"
wilderness heart,black mountain,2010,6,"2010, alternative, alternative rock, Canadian, psychedelic"
"tomorrow, in a year",the knife,2010,3,"2010, experimental, electronic, opera, Avant-Garde"
epic,sharon van etten,2010,7,"2010, folk, folk rock, best of 2010, 2010s"
where i'm going,cut copy,-1,6,indie
mercy street,fever ray,2010,5,"2010, feverray, electronic, albums I own, cover"
sports,weekend,1991,8,"2010, post-punk, shoegaze, my gang 10, shoegaze 2010"
section.80,kendrick lamar,2011,8,"2011, Hip-Hop, jazz rap, Conscious Hip Hop, west coast hip hop"
goblin,"tyler, the creator",2011,4,"2011, rap, alternative hip-hop, Hip-Hop, Horrorcore"
camp,childish gambino,2011,2,"2011, Hip-Hop, rap, albums I own, childish gambino"
knife man,andrew jackson jihad,2011,8,"2011, folk punk, rock, punk, folk"
house of balloons,the weeknd,2011,3,"2011, rnb, r&b, electronic, soul"
hell: the sequel,bad meets evil,2011,6,"2011, detroit, albums I own, favorite albums, Michigan"
take care,drake,2011,6,"Drake, 2011, hip hop, Hip-Hop, rap"
ambition,wale,2011,4,"hip hop, 2011, favourite albums, rick ross, iris"
fallen,burzum,2011,6,"black metal, atmospheric black metal, 2011, Norwegian Black Metal, albums I own"
the english riviera,metronomy,2011,7,"2011, indie pop, best of 2011, electropop, indietronica"
the spits,the spits,2002,2,"punk, 2003, ep, WFMU Heavily Played Records"
tha carter iv,lil wayne,2011,3,"Hip-Hop, rap, hip-hop/rap, carter 4, Lil Wayne"
what did you expect from the vaccines?,the vaccines,2011,6,"2011, albums I own, indie rock, indie, rock"
spiritual state,nujabes,2011,6,"2011, Hip-Hop, jazz, downtempo, japanese"
bon iver,bon iver,2011,6,"2011, best of 2011, folk, albums I own, indie folk"
exmilitary,death grips,2015,8,"2011, Hip-Hop, experimental, experimental hip-hop, hardcore hip hop"
space is only noise,nicolas jaar,2011,8,"2011, electronic, electronica, minimal, ambient"
kaputt,destroyer,2011,9,"2011, best of 2011, Sophisti-Pop, soft rock, indie pop"
angles,the strokes,2011,7,"2011, indie rock, albums I own, indie, Garage Rock"
"take care, take care, take care",explosions in the sky,2011,5,"2011, post-rock, post rock, best of 2011, alternative"
"audio, video, disco",justice,2011,5,"2011, electronic, electronica, french, alternative"
"father, son, holy ghost",girls,2011,7,"2011, best of 2011, indie rock, Lo-Fi, vinyl"
looping state of mind,the field,2011,7,"2011, electronic, chillout, electronica, minimal techno"
i'm with you,red hot chili peppers,2011,5,"2011, alternative rock, Funk Rock, rock, albums I own"
"hurry up, we're dreaming",m83,2011,4,"2011, dream pop, electronic, shoegaze, synthpop"
lasers,lupe fiasco,2011,3,"2011, Hip-Hop, hip hop, 2010s, Lupe Fiasco"
cursed,rotten sound,2014,5,"grindcore, 2011, albums I own, deathgrind, best of 2011"
"hardcore will never die, but you will",mogwai,2011,8,"post-rock, 2011, instrumental, albums I own, alternative"
celestial lineage,wolves in the throne room,2011,6,"atmospheric black metal, black metal, 2011, Post-Black Metal, 2010s"
zonoscope,cut copy,2011,5,"2011, electronic, electropop, alternative dance, indie"
el camino,the black keys,2011,2,"2011, blues rock, albums I own, Garage Rock, rock"
giles corey,giles corey,2015,8,"slowcore, dark folk, singer-songwriter, 2011, folk"
nine types of light,tv on the radio,2011,6,"2011, best of 2011, indie, indie rock, alternative"
cults,cults,2011,4,"2011, indie pop, best of 2011, indie, pop"
james blake,james blake,2011,7,"2011, electronic, dubstep, best of 2011, downtempo"
when fish ride bicycles,the cool kids,2011,4,"Hip-Hop, rap, 2011, alternative hip-hop"
when fish ride bicycles,the cool kids,2011,4,"Hip-Hop, rap, 2011, alternative hip-hop"
wasting light,foo fighters,2011,6,"albums I own, 2011, alternative rock, rock, post-grunge"
"different gear, still speeding",beady eye,2011,3,"2011, rock, british, alternative rock, indie rock"
radioactive,yelawolf,2011,5,"rap, 2011, Hip-Hop, underground hip-hop, Gangsta Rap"
bad vibes,shlohmo,2011,7,"2011, ambient, idm, wonky, downtempo"
king krule,king krule,2011,7,"chillout, experimental, dub, blues, psychedelic"
vicki leekx,m.i.a.,2013,6,"2010, Hip-Hop, electronic, electropop, rap"
all eternals deck,the mountain goats,2011,8,"best of 2011, folk, 2011, indie, folk rock"
severant,kuedo,2011,2,"electronic, 2011, ambient, experimental, planet mu"
the golden age of apocalypse,thundercat,2011,8,"2011, brainfeeder, electronic, jazz, soul"
red barked tree,wire,2011,5,"2011, post-punk, british, 2010, rock"
"thank you, happy birthday",cage the elephant,2011,5,"2011, rock, alternative, alternative rock, indie rock"
ritual,white lies,2011,4,"2011, post-punk, indie, albums I own, synthpop"
all day,girl talk,2008,8,"favorite albums, mashup, 2010, Hip-Hop, Love"
my beautiful dark twisted fantasy,kanye west,2010,6,"Hip-Hop, 2010, rap, hip hop, albums I own"
scary monsters and nice sprites,skrillex,2010,7,"dubstep, House, electronic, electro house, electro"
broken bells,broken bells,2010,5,"2010, indie, best of 2010, albums I own, Very Good"
all day,girl talk,2008,8,"favorite albums, mashup, 2010, Hip-Hop, Love"
my beautiful dark twisted fantasy,kanye west,2010,6,"Hip-Hop, 2010, rap, hip hop, albums I own"
scary monsters and nice sprites,skrillex,2010,7,"dubstep, House, electronic, electro house, electro"
broken bells,broken bells,2010,5,"2010, indie, best of 2010, albums I own, Very Good"
bastard,"tyler, the creator",2019,7,"rap, Horrorcore, 2009, Hip-Hop, 2010"
sex dreams and denim jeans,uffie,2010,2,"2010, best of 2010, electronica, alternative dance, 2010s"
king of the beach,wavves,2010,8,"2010, Lo-Fi, best of 2010, noise pop, indie rock"
unsilent death,nails,2010,9,"grindcore, powerviolence, hardcore, 2010, Crust"
come around sundown,kings of leon,2010,4,"2010, albums I own, indie rock, rock, Southern Rock"
halcyon digest,deerhunter,2010,8,"2010, indie rock, dream pop, Neo-Psychedelia, shoegaze"
self-titled,crystal castles,2008,7,"electronic, 8-bit, albums I own, 2008, best of 2008"
belus,burzum,2010,4,"black metal, atmospheric black metal, Norwegian Black Metal, 2010, true black metal"
public strain,women,2010,9,"2010, indie rock, post-punk, rock, shoegaze"
senior,röyksopp,2010,5,"2010, chillout, electronic, ambient, downtempo"
congratulations,mgmt,2010,8,"2010, psychedelic, indie, electronic, best of 2010"
raw power,iggy and the stooges,1973,5,"rock, albums I own, david bowie, Iggy Pop, CD"
this is happening,lcd soundsystem,2010,9,"2010, electronic, best of 2010, albums I own, alternative"
satan worshipping doom,bongripper,2020,8,"Sludge, doom metal, Doom, sludge metal, drone"
total life forever,foals,2010,4,"2010, albums I own, best of 2010, indie rock, indie"
innerspeaker,tame impala,2010,6,"2010, psychedelic, Psychedelic Rock, albums I own, best of 2010"
apollo kids,ghostface killah,2010,8,"Hip-Hop, rap, epic, 2010, def jam"
king night,salem,2010,2,"2010, witch house, darkwave, experimental, shoegaze"
brothers,the black keys,2010,7,"blues rock, 2010, albums I own, Garage Rock, best of 2010"
high violet,the national,2010,6,"2010, indie rock, best of 2010, albums I own, favourite albums"
false priest,of montreal,2010,5,"2010, indie, indie pop, psychedelic, electronic"
the age of adz,sufjan stevens,2010,6,"2010, art pop, electronic, indie, folktronica"
swim,caribou,2010,6,"2010, electronic, best of 2010, experimental, Canadian"
snakes for the divine,high on fire,2010,8,"2010, stoner metal, heavy metal, metal, albums I own"
before today,ariel pink's haunted graffiti,2010,8,"2010, best of 2010, Lo-Fi, indie, 10s"
sisterworld,liars,2010,6,"2010, best of 2010, mute, 10s, best albums of 2010"
drunk girls,lcd soundsystem,2011,7,"electronic, 2010, Snazzy Beans"
maniac meat,tobacco,2010,7,"2010, best of 2010, electronic, electropop, albums I own"
sometimes the blues is just a passing bird,the tallest man on earth,2010,8,"2010, folk, albums I own, singer-songwriter, folk rock"
clinging to a scheme,the radio dept.,2010,10,"2010, best of 2010, indie pop, shoegaze, albums I own"
marrow of the spirit,agalloch,2010,8,"2010, atmospheric black metal, black metal, folk metal, homoerotic wet dream nostalgia metal"
le noise,neil young,2021,5,"2010, folk rock, rock, 10s, Garage Rock"
throat,little women,2010,9,"noise, Avant-Garde, jazzcore, free jazz, best of 2010"
hurley,weezer,2010,7,"rock, 2010, alternative, alternative rock, power pop"
black masses,electric wizard,2010,6,"doom metal, 2010, stoner metal, albums I own, Stoner Rock"
american ghetto,portugal. the man,2010,3,"2010, indie rock, Progressive, indie, experimental"
man on the moon ii: the legend of mr. rager,kid cudi,2010,6,"Hip-Hop, 2010, alternative, hip hop, psychedelic"
lawless darkness,watain,2010,6,"black metal, 2010, melodic black metal, favourite albums, best albums ever"
business casual,chromeo,2010,9,"2010, electronic, funk, dance, my gang 10"
diamond eyes,deftones,2008,4,"alternative metal, 2010, alternative rock, albums I own, metal"
þþþþþþþþþþþ,arckanum,2009,8,"black metal, 2009, swedish, swedish black metal, best of 2009"
the suburbs,arcade fire,2010,8,"2010, indie rock, albums I own, indie, best of 2010"
lisbon,the walkmen,2010,5,"2010, best of 2010, indie rock, indie, vinyl"
how i got over,the roots,2010,8,"2010, Hip-Hop, best of 2010, hip hop, funk"
does it look like i'm here?,emeralds,2010,6,"2010, electronic, ambient, Progressive Electronic, drone"
sir lucious left foot: the son of chico dusty,big boi,2010,6,"2010, rap, Hip-Hop, hip hop, best albums of 2010"
transit transit,autolux,2010,6,"2010, best of 2010, shoegaze, alternative, alternative rock"
the wild hunt,the tallest man on earth,2010,8,"2010, folk, best of 2010, singer-songwriter, favorite albums"
the way out,the books,2010,9,"2010, electronic, experimental, plunderphonics, indie"
the wrong car,the twilight sad,2010,4,"albums I own, 2010, ep, bobjebus16 owns this"
pattern+grid world,flying lotus,2010,8,"2010, electronic, Hip-Hop, hip hop, albums I own"
the lady killer,cee lo green,2010,7,"2010, soul, best of 2010, pop, albums I own"
oversteps,autechre,2010,5,"idm, electronic, 2010, ambient, experimental"
go,jonsi,2010,6,2010
this orient,foals,2022,7,"french pop, Varg does not approve, colorful album covers"
the final frontier,iron maiden,2010,6,"heavy metal, albums I own, 2010, Progressive metal, metal"
rohnert park,ceremony,2010,8,"hardcore punk, hardcore, punk, amazing, 2010"
tsol,shad,2001,6,"rap, Canadian, Conscious Hip Hop, best albums of 2010, shad"
latin,holy fuck,2010,7,"2010, electronic, best of 2010, krautrock, indie"
plastic beach,gorillaz,2010,7,"2010, alternative, albums I own, electronic, Hip-Hop"
death gate,the gaslamp killer,2010,7,"2010, experimental, brainfeeder, electronic, instrumental"
forget,twin shadow,2009,8,"2010, electronic, indie, favorite albums, new wave"
cosmogramma,flying lotus,2010,8,"2010, idm, electronic, experimental, wonky"
the fall,gorillaz,2010,5,"electronic, 2010, experimental, alternative, albums I own"
the archandroid,janelle monáe,2010,8,"2010, funk, soul, albums I own, art pop"
surfing the void,klaxons,2010,4,"2010, Nu-Rave, alternative rock, indie rock, indie"
fever,sleepy sun,2020,7,"2010, Psychedelic Rock, acoustic, psychedelic, folk rock"
lucky shiner,gold panda,2010,7,"2010, idm, electronic, techno, psychedelic"
dark country magic,big blood,2020,7,"freak folk, list-en"
big echo,the morning benders,2010,6,"2010, indie, indie pop, indie rock, albums I own"
self-titled,anika,2010,3,"2010, indie pop, krautrock, Psychedelic Rock, punk"
my father will guide me up a rope to the sky,swans,2010,6,"2010, post-rock, experimental, Experimental Rock, noise rock"
fool's day,blur,2022,8,"2010, 10s, digital, britpop, single"
gemini,wild nothing,2010,7,"2010, dream pop, indie pop, best of 2010, indie"
black city,matthew dear,2010,7,"2010, Monakitty432, rsyniklaced, deviliscious432, pop"
the monitor,titus andronicus,2010,7,"2010, indie rock, favorite albums, punk rock, best of 2010"
sea of cowards,the dead weather,2010,5,"2010, Garage Rock, albums I own, rock, alternative rock"
love remains,how to dress well,2010,4,"2010, ambient, psychedelic, r&b, alternative rnb"
together,the new pornographers,2010,7,"2010, indie, best of 2010, rock, Canadian"
circle the wagons,darkthrone,2010,5,"crust punk, black metal, 2010, Black n Roll, heavy metal"
crush,abe vigoda,2010,4,"indie, 2010, no wave, pitchfork top 50 albums of 2010, neoncait"
expo 86,wolf parade,2010,6,"2010, indie rock, albums I own, sub pop, 10s"
self-titled,daughters,2010,8,"2010, mathcore, noise rock, post-hardcore, rock"
urgency,superhumanoids,2010,8,2010
cerulean,baths,2010,8,"2010, electronic, downtempo, idm, best of 2010"
penny sparkle,blonde redhead,2010,8,"2010, indie, dream pop, 4ad, alternative"
homeland,laurie anderson,2010,8,"2010, Classical, vocal, female, experimental"
ring,glasser,2010,8,"2010, experimental, psychedelic, indie, dream pop"
special affections,diamond rings,2010,8,"2010, indie, electronic, alternative, Lo-Fi"
crazy for you,best coast,2010,5,"2010, Lo-Fi, Garage Rock, best of 2010, surf rock"
wild smile,suckers,2010,7,"2010, indie, vinyl, best of 2010, Brooklyn"
portal of sorrow,xasthur,2010,4,"ambient black metal, alternative metal, dark ambient, purple album covers, black metal"
summit,thou,2010,7,"doom metal, 2010, Sludge Doom, atmospheric sludge metal, Sludge"
self-titled,the drums,2010,8,"2010, best of 2010, indie pop, albums I own, indie"
first four eps,off!,2010,8,"2010, hardcore punk, albums I own, debut album, rock"
the bride screamed murder,melvins,2010,5,"2010, Stoner Rock, metal, rock, Melvins"
paramatma,mono/poly,2010,6,"experimental, dubstep, freestyle, 2010, wonky"
at echo lake,woods,2010,8,"2010, rock, folk, quite possibly one of the best albums of 2010, woodsist"
memories,weezer,2014,7,beer
the budos band iii,the budos band,2010,5,"funk, best of 2010, soul, The Budos Band III, alternative"
down there,avey tare,2010,5,"2010, experimental, electronic, electronica, indie"
treats,sleigh bells,2010,3,"2010, noise pop, electronic, best of 2010, albums I own"
cloud cuckooland,various artists,2022,7,krautrock
hippies,harlem,2010,7,"2010, Garage Rock, best of 2010, proto-punk, best albums"
lights,interpol,2002,5,"post-punk, remix"
face tat,zach hill,2010,5,"math rock, Experimental Rock, Neo-Psychedelia, noise, rock"
forgiveness rock record,broken social scene,2010,4,"2010, indie rock, best of 2010, albums I own, indie"
album of the year,black milk,2010,4,"2010, Hip-Hop, hip hop, independent hip-hop, albums I own"
a sufi and a killer,gonjasufi,2017,9,"2010, experimental, Lo-Fi, trip-hop, psychedelic"
patagonian rats,tera melos,2010,5,"math rock, indie rock, albums I own, best of 2010, best albums"
oj simpson,guilty simpson,2010,6,"2010, albums I own, interested, Madlib, Gangsta Rap"
self-titled,happy birthday,2016,6,"indie, Lo-Fi, seventies, need to check out, my gang 10"
small craft on a milk sea,brian eno,2010,8,"ambient, 2010, Warp, electronic, experimental"
something for everybody,devo,2010,6,"new wave, 2010, 10s, devo, techno new wave"
illumination,miami horror,2010,7,"2010, electronic, albums I own, synthpop, electropop"
pyramid of the sun,maserati,2010,7,"post-rock, favorite albums, electronic, instrumental, albums I own"
grinderman 2,grinderman,2010,7,"2010, alternative rock, albums I own, garage, rock"
the people's record,club 8,2010,5,"2010, indie, Labrador, new, upcoming"
crossfire,brandon flowers,2014,7,"amazing, 2010, legend"
everything in between,no age,2010,6,"2010, noise rock, indie rock, best of 2010, indie"
four more years,teen daze,2010,7,"2010, chillwave"
desert fires,noveller,2021,7,"drone, rock, album fav, saffron recordings"
lp4,ratatat,2010,8,"electronic, 2010, instrumental, electronica, guitar"
rising sun,the souljazz orchestra,2010,8,"afrobeat, funk, canada, Fusion, jazz-funk"
pigeons,here we go magic,2010,7,"2010, indie, Brooklyn, secretly canadian, New York City"
ardour,teebs,2010,6,"2010, electronic, chillout, albums I own, downtempo"
self-titled,interpol,2010,5,"2010, indie rock, post-punk, rock, albums I own"
all delighted people,sufjan stevens,2010,8,"2010, vinyl, progressive folk, chamber folk, indie"
holkham drones,luke abbott,2010,8,"electronic, albums I own, 2010"
becoming a jackal,villagers,2010,6,"2010, best of 2010, albums I own, indie rock, irish"
in evening air,future islands,2010,7,"2010, favorite albums, new wave, electronic, indie"
memphis,magic kids,2010,8,"2010, indie pop, albums I own, fun, memphis"
broken dreams club,girls,2010,5,"albums I own, favorite albums, best of 2010, pretty good, my gang 10"
special moves,mogwai,2010,8,"albums I own, post-rock, live, 2010, instrumental"
wilderness heart,black mountain,2010,6,"2010, alternative, alternative rock, Canadian, psychedelic"
infinite arms,band of horses,2010,5,"2010, indie, indie rock, albums I own, rock"
the fool,warpaint,2010,6,"2010, Psychedelic Rock, albums I own, indie, shoegaze"
"tomorrow, in a year",the knife,2010,3,"2010, experimental, electronic, opera, Avant-Garde"
